iter	Logloss
0	0.6653138912
1	0.6406662935
2	0.6189510411
3	0.5994645318
4	0.5824877938
5	0.5672673316
6	0.5537697043
7	0.5417117313
8	0.531243329
9	0.5217330555
10	0.5131639386
11	0.5056176054
12	0.4987116448
13	0.4927562022
14	0.487345594
15	0.4823117235
16	0.4777175986
17	0.4737125464
18	0.4699639183
19	0.4666050688
20	0.463531003
21	0.4607820172
22	0.4583332004
23	0.4561814343
24	0.4540943089
25	0.4521937924
26	0.450415971
27	0.448741633
28	0.4472826313
29	0.4457483379
30	0.4444968605
31	0.4431864557
32	0.4420310777
33	0.4410374917
34	0.4400051959
35	0.4390696539
36	0.438181522
37	0.4374028236
38	0.4365986491
39	0.4358971793
40	0.4350983181
41	0.4343345913
42	0.4336713238
43	0.4330947751
44	0.4325205068
45	0.4320073454
46	0.431456016
47	0.4309486978
48	0.430442038
49	0.4299941836
50	0.4295602196
51	0.4291352555
52	0.4287238179
53	0.4282954747
54	0.4277718253
55	0.42741174
56	0.4270612652
57	0.4267274535
58	0.426385611
59	0.4260506505
60	0.4257334663
61	0.4253994601
62	0.4250901552
63	0.4247982317
64	0.4244829381
65	0.4240387063
66	0.4237283934
67	0.4234602969
68	0.4232067797
69	0.4229571079
70	0.4227099939
71	0.4224212803
72	0.4221880264
73	0.4217991462
74	0.4215704398
75	0.4213076019
76	0.4210970722
77	0.4207233174
78	0.4204993179
79	0.4202758126
80	0.4200792634
81	0.4198273319
82	0.4196074254
83	0.4193945993
84	0.4190880881
85	0.4189200625
86	0.4187301945
87	0.418556805
88	0.4183351867
89	0.4181318019
90	0.4179420783
91	0.4176728336
92	0.4174953594
93	0.4172983631
94	0.4171328379
95	0.4169683124
96	0.4168148367
97	0.4166606491
98	0.4164215931
99	0.4162605079
100	0.4161220234
101	0.4159831493
102	0.4157592243
103	0.4156186205
104	0.4154678611
105	0.4153205382
106	0.4151773799
107	0.4150355039
108	0.4149027589
109	0.4147655649
110	0.4146231802
111	0.4144945959
112	0.4143716903
113	0.4142551768
114	0.414036665
115	0.4139255355
116	0.4138094397
117	0.4136309686
118	0.4135170342
119	0.4133483616
120	0.4132317516
121	0.4131193943
122	0.4129881514
123	0.4128554645
124	0.4127462356
125	0.4125910294
126	0.4124902666
127	0.4123807785
128	0.4122753084
129	0.4121823914
130	0.4120812876
131	0.4119900237
132	0.4119006486
133	0.4118092089
134	0.4117259919
135	0.4116400149
136	0.4115334638
137	0.4114469831
138	0.4113577686
139	0.411278741
140	0.4111815708
141	0.4111002829
142	0.4110227103
143	0.4108724111
144	0.410792092
145	0.4107241987
146	0.4106530899
147	0.4105769484
148	0.4104416734
149	0.4103655044
150	0.410281299
151	0.4102140935
152	0.4101416373
153	0.4100645026
154	0.4099806502
155	0.4099023564
156	0.4098346598
157	0.4097580636
158	0.4096182352
159	0.4095595805
160	0.409482259
161	0.409419418
162	0.4093526203
163	0.4092946948
164	0.409230488
165	0.409175896
166	0.4091104832
167	0.4090469208
168	0.4090026863
169	0.4089490919
170	0.4088904776
171	0.4088143343
172	0.4087543259
173	0.4086990593
174	0.4086465576
175	0.4086009366
176	0.4084994661
177	0.4084468792
178	0.4083976654
179	0.4083505402
180	0.4082960119
